Metagenome,ERR,ERX
100DCM0CCKK11,"ERR599081,ERR599113","ERX555917,ERX555930"
100DCM1GGMM11,"ERR868424,ERR868465","ERX947967,ERX947975"
100DCM1GGZZ11,"ERR1726527,ERR1726609","ERX1796801,ERX1796844"
100DCM1QQSS11,ERR1726655,ERX1796736
100DCM1SSUU11,"ERR1726550,ERR1726623,ERR1726698","ERX1796610,ERX1796771,ERX1796911"
100SUR0CCKK11,"ERR599063,ERR599163,ERR599169","ERX555916,ERX556074,ERX556092"
100SUR1GGMM11,ERR868493,ERX947966
100SUR1GGZZ11,"ERR1726634,ERR1726656","ERX1796752,ERX1796869"
100SUR1MMQQ11,ERR1726865,ERX1796826
100SUR1QQSS11,"ERR1726588,ERR1726639,ERR1726755","ERX1796541,ERX1796573,ERX1796883"
100SUR1SSUU11,"ERR1726624,ERR1726909","ERX1796631,ERX1796952"
102DCM0CCKK11,"ERR598962,ERR599007,ERR599168","ERX556001,ERX556005,ERX556048"
102DCM1GGMM11,"ERR868422,ERR868440","ERX948043,ERX948049"
102DCM1GGZZ11,ERR1726842,ERX1796691
102DCM1MMQQ11,ERR1726742,ERX1796757
102DCM1QQSS11,ERR1726659,ERX1796886
102SUR0CCKK11,"ERR598943,ERR598978","ERX555954,ERX556029"
102SUR1GGMM11,ERR868357,ERX947991
102SUR1GGZZ11,ERR1726628,ERX1796580
102SUR1MMQQ11,ERR1726841,ERX1796646
102SUR1QQSS11,ERR1726709,ERX1796804
102SUR1SSUU11,ERR1726705,ERX1796929
106DCM1GGMM11,ERR868505,ERX948003
106DCM1GGZZ11,ERR4691713,ERX4612822
106DCM1MMQQ11,ERR1726828,ERX1796559
106DCM1QQSS11,ERR1726830,ERX1796957
106DCM1SSUU11,ERR1726566,ERX1796783
106SUR1GGMM11,ERR868502,ERX947951
106SUR1GGZZ11,ERR4691714,ERX4612823
106SUR1MMQQ11,ERR1726713,ERX1796909
106SUR1QQSS11,ERR1726525,ERX1796611
106SUR1SSUU11,ERR1726740,ERX1796847
109DCM01QQSS11,"ERR1726945,ERR1726964","ERX1796841,ERX1796884"
109DCM0CCKK11,"ERR598952,ERR599065,ERR599108","ERX556007,ERX556026,ERX556128"
109DCM1GGMM11,"ERR868450,ERR868472","ERX947952,ERX947965"
109DCM1GGZZ11,ERR1726760,ERX1796651
109DCM1MMQQ11,"ERR1726856,ERR1726904","ERX1796566,ERX1796956"
109DCM1QQSS11,"ERR1726563,ERR1726658","ERX1796779,ERX1796781"
109SUR0CCKK11,"ERR598997,ERR599118","ERX555963,ERX556086"
109SUR1GGMM11,"ERR868374,ERR868441","ERX948011,ERX948095"
109SUR1GGZZ11,"ERR1726807,ERR1726933,ERR1726955","ERX1796656,ERX1796928,ERX1796948"
109SUR1MMQQ11,"ERR1726792,ERR1726871","ERX1796620,ERX1796917"
109SUR1QQSS11,"ERR1726788,ERR1726801","ERX1796585,ERX1796743"
109SUR1SSUU11,"ERR1726766,ERR1726789","ERX1796906,ERX1796958"
10DCM1GGMM11,ERR4691734,ERX4612843
10DCM1QQSS11,ERR4691735,ERX4612844
10DCM1SSUU11,ERR4691736,ERX4612845
10SUR1GGMM11,ERR4691737,ERX4612846
10SUR1QQSS11,ERR4691738,ERX4612847
10SUR1SSUU11,ERR4691739,ERX4612848
110DCM0CCKK11,ERR599014,ERX555941
110DCM1GGMM11,"ERR868364,ERR868438","ERX947998,ERX948046"
110DCM1GGZZ11,ERR1726579,ERX1796750
110DCM1MMQQ11,"ERR1726668,ERR1726773","ERX1796574,ERX1796649"
110DCM1SSUU11,ERR1726604,ERX1796873
110SUR0CCKK11,ERR599039,ERX556137
110SUR1GGMM11,ERR868442,ERX947983
110SUR1GGZZ11,"ERR1726602,ERR1726907","ERX1796697,ERX1796813"
110SUR1MMQQ11,"ERR1726732,ERR1726890","ERX1796753,ERX1796770"
110SUR1QQSS11,ERR1726528,ERX1796511
110SUR1SSUU11,"ERR1726739,ERR1726775","ERX1796642,ERX1796910"
111DCM0CCKK11,ERR598961,ERX556060
111DCM1GGMM11,ERR868381,ERX947977
111DCM1GGZZ11,ERR1726584,ERX1796682
111DCM1MMQQ11,ERR1726771,ERX1796780
111DCM1QQSS11,ERR1726690,ERX1796575
111DCM1SSUU11,"ERR1726552,ERR1726882","ERX1796600,ERX1796819"
111SUR0CCKK11,ERR599077,ERX555933
111SUR1GGMM11,ERR868476,ERX948111
111SUR1GGZZ11,ERR1726567,ERX1796933
111SUR1MMQQ11,ERR1726708,ERX1796934
111SUR1SSUU11,ERR1726916,ERX1796628
111SUR2QQSS11,ERR1726670,ERX1796734
112DCM0CCKK11,ERR598957,ERX555966
112DCM1GGMM11,ERR868432,ERX948086
112DCM1QQSS11,ERR1726977,ERX1796955
112DCM1SSUU11,ERR1726778,ERX1796581
112SUR0CCKK11,ERR598954,ERX555919
112SUR1GGMM11,ERR868501,ERX947963
112SUR1MMQQ11,ERR1726535,ERX1796769
112SUR1QQSS11,ERR1726834,ERX1796857
112SUR1SSUU11,ERR1726694,ERX1796525
113SUR1GGMM11,ERR868405,ERX948065
113SUR1GGZZ11,ERR4691715,ERX4612824
113SUR1QQSS11,ERR1726615,ERX1796726
113SUR1SSUU11,ERR1726586,ERX1796821
114SUR1GGZZ11,ERR4691716,ERX4612825
114SUR1QQSS11,ERR1726605,ERX1796623
114SUR1SSUU11,ERR1726685,ERX1796810
115SUR1GGZZ11,ERR4691717,ERX4612826
115SUR1QQSS11,ERR1726592,ERX1796597
115SUR1SSUU11,ERR1726620,ERX1796568
116SUR1GGZZ11,ERR4691720,ERX4612829
116SUR1QQSS11,ERR1726857,ERX1796625
116SUR1SSUU11,"ERR1726664,ERR1726931","ERX1796579,ERX1796891"
117SUR1GGZZ11,ERR4691721,ERX4612830
117SUR1QQSS11,ERR1726785,ERX1796506
117SUR1SSUU11,ERR1726600,ERX1796694
118SUR1GGZZ11,ERR4691722,ERX4612831
118SUR1QQSS11,ERR1726544,ERX1796746
118SUR1SSUU11,ERR1726741,ERX1796794
119SUR1GGZZ11,ERR4691825,ERX4612934
119SUR1QQSS11,ERR4691823,ERX4612932
119SUR1SSUU11,ERR4691824,ERX4612933
11SUR01GGZZ11,ERR1726597,ERX1796565
11SUR1QQSS11,"ERR1726642,ERR1726791","ERX1796510,ERX1796593"
11SUR1SSUU11,"ERR1726879,ERR1726953","ERX1796686,ERX1796791"
120SUR1QQSS11,ERR4691793,ERX4612902
120SUR1SSUU11,ERR4691794,ERX4612903
120SUR2GGZZ11,"ERR4691863,ERR4691864","ERX4612972,ERX4612973"
121SUR1GGZZ11,ERR4691828,ERX4612937
121SUR1QQSS11,ERR4691826,ERX4612935
121SUR1SSUU11,ERR4691827,ERX4612936
122DCM0CCKK11,ERR598948,ERX555932
122DCM1GGMM11,"ERR868419,ERR868425","ERX947990,ERX948085"
122DCM1GGZZ11,"ERR4691711,ERR4691712","ERX4612820,ERX4612821"
122DCM1MMQQ11,"ERR1726717,ERR1726959","ERX1796522,ERX1796868"
122DCM1QQSS11,"ERR1726606,ERR1726700","ERX1796583,ERX1796885"
122DCM1SSUU11,"ERR1726826,ERR1726922","ERX1796837,ERX1796892"
122SUR0CCKK11,ERR598992,ERX555947
122SUR1GGMM11,"ERR868475,ERR868513","ERX948010,ERX948080"
122SUR1GGZZ11,"ERR1726556,ERR1726667","ERX1796638,ERX1796912"
122SUR1MMQQ11,"ERR1726688,ERR1726938","ERX1796690,ERX1796805"
122SUR1QQSS11,"ERR1726927,ERR1726932","ERX1796544,ERX1796854"
122SUR1SSUU11,"ERR1726883,ERR1726891","ERX1796700,ERX1796855"
123SUR0CCKK11,ERR599160,ERX556126
123SUR1GGMM11,"ERR868466,ERR868469","ERX948029,ERX948074"
123SUR1GGZZ11,"ERR1726762,ERR1726913","ERX1796627,ERX1796773"
123SUR1MMQQ11,"ERR1726522,ERR1726961","ERX1796605,ERX1796931"
123SUR1QQSS11,"ERR1726622,ERR1726721","ERX1796524,ERX1796866"
123SUR1SSUU11,"ERR1726561,ERR1726770","ERX1796596,ERX1796836"
124SUR0CCKK11,"ERR599036,ERR599069,ERR599080,ERR599151","ERX555929,ERX556057,ERX556076,ERX556117"
124SUR1CCKK11,ERR588857,ERX546861
124SUR1GGMM11,"ERR868363,ERR868489","ERX947973,ERX948088"
124SUR1GGZZ11,"ERR1726564,ERR1726569,ERR1726725","ERX1796586,ERX1796687,ERX1796703"
