Metagenome_Id,Size_Categorie,Nb reads,Depth,Station,Station Subset,Region,Filter_Code,Filter_Size
100DCM0CCKK11,Size_01,329622190,DCM,100,Subset 01,Pacific,CCKK,0.22-3µm
100DCM1GGMM11,Size_01,330276028,DCM,100,Subset 01,Pacific,GGMM,0.8-5µm
100DCM1GGZZ11,Size_All,340372772,DCM,100,Subset 02,Pacific,GGZZ,0.8-2000µm
100DCM1QQSS11,Size_03,314312114,DCM,100,Subset 01,Pacific,QQSS,20-180µm
100DCM1SSUU11,Size_04,354304094,DCM,100,Subset 01,Pacific,SSUU,180-2000µm
100SUR0CCKK11,Size_01,364706180,SUR,100,Subset 01,Pacific,CCKK,0.22-3µm
100SUR1GGMM11,Size_01,369046652,SUR,100,Subset 01,Pacific,GGMM,0.8-5µm
100SUR1GGZZ11,Size_All,333841726,SUR,100,Subset 02,Pacific,GGZZ,0.8-2000µm
100SUR1MMQQ11,Size_02,316425596,SUR,100,Subset 01,Pacific,MMQQ,5-20µm
100SUR1QQSS11,Size_03,341020638,SUR,100,Subset 01,Pacific,QQSS,20-180µm
100SUR1SSUU11,Size_04,351123358,SUR,100,Subset 01,Pacific,SSUU,180-2000µm
102DCM0CCKK11,Size_01,395296632,DCM,102,Subset 01,Pacific,CCKK,0.22-3µm
102DCM1GGMM11,Size_01,339165532,DCM,102,Subset 01,Pacific,GGMM,0.8-5µm
102DCM1GGZZ11,Size_All,341222900,DCM,102,Subset 02,Pacific,GGZZ,0.8-2000µm
102DCM1MMQQ11,Size_02,317358528,DCM,102,Subset 01,Pacific,MMQQ,5-20µm
102DCM1QQSS11,Size_03,353697370,DCM,102,Subset 01,Pacific,QQSS,20-180µm
102SUR0CCKK11,Size_01,328881068,SUR,102,Subset 01,Pacific,CCKK,0.22-3µm
102SUR1GGMM11,Size_01,305179242,SUR,102,Subset 01,Pacific,GGMM,0.8-5µm
102SUR1GGZZ11,Size_All,307933902,SUR,102,Subset 02,Pacific,GGZZ,0.8-2000µm
