Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
100DCM,-13.0023,-95.9759,13.56770039,34.82201004,12.59607792,18.51773262,1.934085846,0.000953415,0.392917313,0.093368248
100SUR,-13.0023,-95.9759,25.3484993,35.75231171,2.205244303,5.9670434,0.711965382,1.78E-05,0.22051676,0.330233956
102DCM,-5.2529,-85.1545,19.37559128,35.09238815,9.329957962,13.3312912,1.464912415,0.00061591,0.386492717,0.108798771
102SUR,-5.2529,-85.1545,25.93959999,34.94689941,4.750909805,5.850003719,0.68113482,7.33E-05,0.593266485,0.568386105
106DCM,-0.0283,-84.5862,21.02499008,34.97771072,14.8888979,19.75414467,1.620048642,0.001179931,0.421566786,0.397390398
106SUR,-0.0283,-84.5862,25.01030922,34.70100021,6.379584312,6.566504955,0.673256397,0.000265753,0.477280366,0.271731763
109DCM,1.9928,-84.5766,24.61898994,34.43740082,6.785172462,8.487381935,0.883214235,0.000372054,0.371487888,0.387984849
109SUR,1.9928,-84.5766,26.62158966,33.89048767,4.649108887,3.226651669,0.502461016,0.000110001,0.29921082,0.181944288
10DCM,40.6541,2.8407,13.32189083,38.24618912,2.360223055,2.821609974,0.201942459,0.001089472,0.105167356,0.044827935
10SUR,40.6541,2.8407,24.68009949,37.94190979,0.362054229,0.096598126,0.155760735,0.00170551,0.16193442,0.919157799
110DCM,-2.0133,-84.589,19.95598984,35.05958939,15.11362457,20.98062515,1.601366162,0.001125143,0.432993413,0.310769287
110SUR,-2.0133,-84.589,23.41570091,34.98698807,7.514557362,8.363668442,0.764049947,0.00019944,0.510209625,0.465556891
111DCM,-16.9601,-100.6335,21.14549065,35.73791122,0.343010306,1.286827683,0.605623007,0.000881847,0.07333112,0.075299738
111SUR,-16.9601,-100.6335,23.68040085,35.9659996,0.933684051,2.961229086,0.517644644,7.74E-06,0.171791472,0.213497942
112DCM,-23.2811,-129.3947,20.79349136,35.76351166,1.528342128,0.076540835,0.174213141,0.00079346,0.099367348,0.033770333
112SUR,-23.2811,-129.3947,24.69330025,36.13531113,0.555998206,0.003985463,0.23297593,5.46E-06,0.022543119,0.310032485
113SUR,-23.1108,-134.9327,24.85639954,36.20811081,0.030107792,0,0.167733401,9.63E-06,0.019143589,0.332749817
114SUR,-23.1595,-134.9236,24.85639954,36.20811081,0.030107792,0,0.167733401,9.63E-06,0.019143589,0.332749817
115SUR,-23.2317,-134.9611,24.85639954,36.20811081,0.030107792,0,0.167733401,9.63E-06,0.019143589,0.332749817
116SUR,-23.2329,-134.9606,24.85639954,36.20811081,0.030107792,0,0.167733401,9.63E-06,0.019143589,0.332749817
117SUR,-23.1571,-135.018,23.77050018,36.06098938,1.3768332,0.013673636,0.2224029,8.34E-06,0.016711068,0.335971669
118SUR,-23.1571,-135.018,23.77050018,36.06098938,1.3768332,0.013673636,0.2224029,8.34E-06,0.016711068,0.335971669
119SUR,-23.0244,-134.9228,23.72680092,36.1130867,1.384657264,0.018177014,0.203293815,9.63E-06,0.019143589,0.332749817
11SUR,41.6645,2.7983,21.36017752,37.97213078,0.06343414,0.0047995,0.041103964,0.001650138,0.143868207,0.301802195
120SUR,-23.0242,-134.9232,23.72680092,36.1130867,1.384657264,0.018177014,0.203293815,9.63E-06,0.019143589,0.332749817
121SUR,-23.073,-135.018,23.77050018,36.06098938,1.3768332,0.013673636,0.2224029,8.34E-06,0.016711068,0.335971669
122DCM,-8.9971,-139.1963,24.0573101,36.05858994,2.262314796,2.122466564,0.51905179,0.000834111,0.145268348,0.118666477
122SUR,-8.9971,-139.1963,27.23250008,35.36198807,1.299270511,3.703070402,0.430146426,5.42E-06,0.167438065,0.113016316
