gene,SS0127_S17,SS0126_S16,SS0124_S14,SS0125_S15,SS0123_S13,SS0122_S12
NODE_1_length_148236_cov_916.668891_1,2275,347,3547,219,244,106
NODE_1_length_148236_cov_916.668891_2,1109,138,2858,250,183,34
NODE_1_length_148236_cov_916.668891_3,31274,8156,22330,5904,5802,3183
NODE_1_length_148236_cov_916.668891_4,11213,212,11079,478,457,112
NODE_1_length_148236_cov_916.668891_5,3512,1682,6276,660,740,572
NODE_1_length_148236_cov_916.668891_6,2719,595,4531,1045,1111,378
NODE_1_length_148236_cov_916.668891_7,231,32,612,72,62,15
NODE_1_length_148236_cov_916.668891_8,468,0,741,0,0,0
NODE_1_length_148236_cov_916.668891_9,856,220,1292,400,339,27
NODE_1_length_148236_cov_916.668891_10,1967,363,3815,714,965,56
NODE_1_length_148236_cov_916.668891_11,2904,1056,7057,1220,927,348
NODE_1_length_148236_cov_916.668891_12,1132,909,1542,1235,1165,258
NODE_1_length_148236_cov_916.668891_13,1209,68,1534,277,267,49
NODE_1_length_148236_cov_916.668891_14,165,0,535,4,6,0
NODE_1_length_148236_cov_916.668891_15,744,0,2167,16,6,0
NODE_1_length_148236_cov_916.668891_16,362,8,1789,24,12,2
NODE_1_length_148236_cov_916.668891_17,7992,338,7133,483,355,119
NODE_1_length_148236_cov_916.668891_18,55432,8412,42022,6527,6550,2747
NODE_1_length_148236_cov_916.668891_19,45719,2648,31440,1913,1451,966
NODE_1_length_148236_cov_916.668891_20,13745,5679,15063,6410,5634,2767
NODE_1_length_148236_cov_916.668891_21,1956,288,3335,349,420,95
NODE_1_length_148236_cov_916.668891_22,942,82,1130,458,250,48
NODE_1_length_148236_cov_916.668891_23,14197,1272,9451,1694,1305,437
NODE_1_length_148236_cov_916.668891_24,6826,3107,7637,1892,1707,726
NODE_1_length_148236_cov_916.668891_25,4381,194,4215,433,303,102
NODE_1_length_148236_cov_916.668891_26,1005,131,1316,201,110,14
NODE_1_length_148236_cov_916.668891_27,10118,1445,11425,997,860,752
NODE_1_length_148236_cov_916.668891_28,4159,362,4825,684,529,284
NODE_1_length_148236_cov_916.668891_29,10030,340,10667,793,647,113
NODE_1_length_148236_cov_916.668891_30,3749,311,4923,550,528,163
NODE_1_length_148236_cov_916.668891_31,4386,289,7811,432,330,156
NODE_1_length_148236_cov_916.668891_32,3035,22,4878,4,14,0
NODE_1_length_148236_cov_916.668891_33,321,0,640,0,0,0
NODE_1_length_148236_cov_916.668891_34,4121,576,3874,882,977,200
NODE_1_length_148236_cov_916.668891_35,54759,2392,36575,7396,3967,726
NODE_1_length_148236_cov_916.668891_36,120696,105006,80139,105766,93287,39068
NODE_1_length_148236_cov_916.668891_37,2567,0,3839,0,1,0
NODE_1_length_148236_cov_916.668891_38,197,0,235,0,0,0
NODE_1_length_148236_cov_916.668891_39,40,0,139,0,0,0
NODE_1_length_148236_cov_916.668891_40,22702,1023,22278,2380,1687,371
NODE_1_length_148236_cov_916.668891_41,24122,4532,16500,10748,7719,2155
NODE_1_length_148236_cov_916.668891_42,5327,1363,6766,8358,3753,700
NODE_1_length_148236_cov_916.668891_43,46,0,84,0,0,0
NODE_1_length_148236_cov_916.668891_44,163278,6720,100738,15775,11779,2445
NODE_1_length_148236_cov_916.668891_45,84774,9508,57323,8920,8813,4228
NODE_1_length_148236_cov_916.668891_46,2544,1473,2990,1413,1267,716
NODE_1_length_148236_cov_916.668891_47,1407,53,1484,293,230,53
NODE_1_length_148236_cov_916.668891_48,40649,9364,28237,14029,10023,3403
NODE_1_length_148236_cov_916.668891_49,18344,3435,20680,4144,3387,1471
NODE_1_length_148236_cov_916.668891_50,57340,3827,48595,5743,4792,1418
NODE_1_length_148236_cov_916.668891_51,3195,194,3364,588,503,68
NODE_1_length_148236_cov_916.668891_52,2130,142,3815,367,280,55
NODE_1_length_148236_cov_916.668891_53,1108,131,3068,317,213,44
NODE_1_length_148236_cov_916.668891_54,114,2,390,8,0,0
NODE_1_length_148236_cov_916.668891_55,179,10,493,0,0,0
NODE_1_length_148236_cov_916.668891_56,57706,4052,47240,5243,4372,1871
NODE_1_length_148236_cov_916.668891_57,5896,275,17273,511,331,153
NODE_1_length_148236_cov_916.668891_58,2383,447,5936,910,605,267
NODE_1_length_148236_cov_916.668891_59,186,0,537,0,0,0
NODE_1_length_148236_cov_916.668891_60,2513,71,3359,171,80,45
NODE_1_length_148236_cov_916.668891_61,6132,238,5844,397,267,74
NODE_1_length_148236_cov_916.668891_62,1301,0,1093,0,2,1
NODE_1_length_148236_cov_916.668891_63,4128,4370,4628,6589,4163,564
NODE_1_length_148236_cov_916.668891_64,370,220,380,327,225,53
NODE_1_length_148236_cov_916.668891_65,516,8,839,16,110,60
NODE_1_length_148236_cov_916.668891_66,506,520,714,1453,792,93
NODE_1_length_148236_cov_916.668891_67,438,284,422,1537,664,86
NODE_1_length_148236_cov_916.668891_68,526,153,838,831,381,69
NODE_1_length_148236_cov_916.668891_69,61,13,148,5,21,3
NODE_1_length_148236_cov_916.668891_70,6451,776,6356,917,836,279
NODE_1_length_148236_cov_916.668891_71,15770,10,11693,4,6,0
NODE_1_length_148236_cov_916.668891_72,329620,76493,246860,79867,105028,51756
NODE_1_length_148236_cov_916.668891_73,127,119,648,75,189,126
NODE_1_length_148236_cov_916.668891_74,10385,3707,8233,10036,9868,2314
NODE_1_length_148236_cov_916.668891_75,9239,4476,7528,11166,10535,2572
NODE_1_length_148236_cov_916.668891_76,1836,0,1589,2,0,0
NODE_1_length_148236_cov_916.668891_77,197,85,642,513,402,60
NODE_1_length_148236_cov_916.668891_78,782,2043,1353,3331,2977,1328
NODE_1_length_148236_cov_916.668891_79,2995,1670,5097,7333,4834,1215
NODE_1_length_148236_cov_916.668891_80,9761,10205,9341,35778,25573,6945
NODE_1_length_148236_cov_916.668891_81,7189,7759,7545,21820,17475,4972
NODE_1_length_148236_cov_916.668891_82,15081,5567,13791,14489,12314,3753
NODE_1_length_148236_cov_916.668891_83,209606,381611,145843,623842,493686,237946
NODE_1_length_148236_cov_916.668891_84,124139,291051,89417,632144,468056,182718
NODE_1_length_148236_cov_916.668891_85,69816,176241,46080,418559,284808,119644
NODE_1_length_148236_cov_916.668891_86,8380,6382,15105,17071,14462,4154
NODE_1_length_148236_cov_916.668891_87,9248,8634,7551,25601,24450,6051
NODE_1_length_148236_cov_916.668891_88,6449,6277,6093,25213,22928,4980
NODE_1_length_148236_cov_916.668891_89,12199,6586,11422,14550,14727,3813
NODE_1_length_148236_cov_916.668891_90,3761,1326,5269,13499,6088,820
NODE_1_length_148236_cov_916.668891_91,4005,4161,3146,17564,11970,3140
NODE_1_length_148236_cov_916.668891_92,6813,18030,5389,48285,36896,14238
NODE_1_length_148236_cov_916.668891_93,25459,1285,20030,3459,2416,724
NODE_1_length_148236_cov_916.668891_94,1662,252,3274,344,337,108
NODE_1_length_148236_cov_916.668891_95,149,6,671,0,3,0
NODE_1_length_148236_cov_916.668891_96,2828,248,8520,791,585,94
NODE_1_length_148236_cov_916.668891_97,10833,241,8271,394,326,150
NODE_1_length_148236_cov_916.668891_98,1584,179,2051,161,172,194
NODE_1_length_148236_cov_916.668891_99,1205,30,1718,3,27,4
NODE_1_length_148236_cov_916.668891_100,7444,1893,11186,2019,2199,931
NODE_1_length_148236_cov_916.668891_101,184,6,389,2,4,0
NODE_1_length_148236_cov_916.668891_102,1852,1369,2257,1391,1947,607
NODE_1_length_148236_cov_916.668891_103,20578,3074,16853,3351,2441,1005
NODE_1_length_148236_cov_916.668891_104,22679,1460,23491,2801,1960,641
NODE_1_length_148236_cov_916.668891_105,11066,1039,10124,1347,1138,448
NODE_1_length_148236_cov_916.668891_106,45986,19,27883,31,8,12
NODE_1_length_148236_cov_916.668891_107,15587,1919,11554,2315,1801,664
NODE_1_length_148236_cov_916.668891_108,5908,594,11894,1610,1077,316
NODE_1_length_148236_cov_916.668891_109,46914,10,42229,14,9,40
NODE_1_length_148236_cov_916.668891_110,31909,9431,22146,5740,6727,3949
NODE_1_length_148236_cov_916.668891_111,10955,476,8794,815,709,314
NODE_1_length_148236_cov_916.668891_112,12894,12,9252,10,4,14
NODE_1_length_148236_cov_916.668891_113,40999,125,27333,304,192,3
NODE_1_length_148236_cov_916.668891_114,174044,15,115358,48,58,26
NODE_1_length_148236_cov_916.668891_115,462,8,831,0,0,0
NODE_1_length_148236_cov_916.668891_116,514,10,760,20,25,7
NODE_1_length_148236_cov_916.668891_117,498,0,1369,2,0,0
NODE_1_length_148236_cov_916.668891_118,16,0,279,0,0,0
NODE_2_length_141101_cov_626.108738_1,3836,136,9270,565,479,157
NODE_2_length_141101_cov_626.108738_2,1499,1479,4724,1026,1086,471
NODE_2_length_141101_cov_626.108738_3,328,0,901,0,0,0
NODE_2_length_141101_cov_626.108738_4,1241,114,1625,246,207,44
NODE_2_length_141101_cov_626.108738_5,11444,1643,13503,1579,1645,480
NODE_2_length_141101_cov_626.108738_6,7225,127,9098,151,195,114
NODE_2_length_141101_cov_626.108738_7,4852,1923,7724,1102,1457,839
NODE_2_length_141101_cov_626.108738_8,3953,890,5624,580,962,262
NODE_2_length_141101_cov_626.108738_9,5558,1052,8468,537,1025,291
NODE_2_length_141101_cov_626.108738_10,14314,3351,10250,3713,2766,1170
NODE_2_length_141101_cov_626.108738_11,12607,3002,10811,5165,3511,1118
NODE_2_length_141101_cov_626.108738_12,16238,3922,16054,6489,4293,1408
NODE_2_length_141101_cov_626.108738_13,6549,0,5975,0,0,0
NODE_2_length_141101_cov_626.108738_14,24890,9881,14640,6659,5301,3869
NODE_2_length_141101_cov_626.108738_15,19117,5010,12436,4342,4232,1682
NODE_2_length_141101_cov_626.108738_16,31632,4497,22451,5242,4562,2061
NODE_2_length_141101_cov_626.108738_17,78326,2979,50622,5571,3741,934
NODE_2_length_141101_cov_626.108738_18,2823,420,2518,1831,762,115
NODE_2_length_141101_cov_626.108738_19,19928,2023,19951,3837,2226,525
NODE_2_length_141101_cov_626.108738_20,342,16,1353,0,0,0
NODE_2_length_141101_cov_626.108738_21,567,4,1719,4,8,0
NODE_2_length_141101_cov_626.108738_22,4403,483,5200,1306,721,154
NODE_2_length_141101_cov_626.108738_23,1274,465,1227,730,560,126
NODE_2_length_141101_cov_626.108738_24,48648,4652,49725,4032,4162,1881
NODE_2_length_141101_cov_626.108738_25,6921,862,10003,633,752,260
NODE_2_length_141101_cov_626.108738_26,693,64,1093,54,65,48
NODE_2_length_141101_cov_626.108738_27,253,160,411,361,456,104
NODE_2_length_141101_cov_626.108738_28,24192,6454,16976,8641,7659,2665
NODE_2_length_141101_cov_626.108738_29,6397,2958,5652,2387,1463,1467
NODE_2_length_141101_cov_626.108738_30,9668,239,7533,306,238,66
NODE_2_length_141101_cov_626.108738_31,23518,25,22475,52,32,11
NODE_2_length_141101_cov_626.108738_32,2033,8,2144,4,4,10
NODE_2_length_141101_cov_626.108738_33,2653,2,3531,3,0,8
NODE_2_length_141101_cov_626.108738_34,743,0,912,0,0,6
NODE_2_length_141101_cov_626.108738_35,3064,714,2956,942,958,530
NODE_2_length_141101_cov_626.108738_36,872,0,1004,0,0,0
NODE_2_length_141101_cov_626.108738_37,890,0,1290,6,10,0
NODE_2_length_141101_cov_626.108738_38,1805,6840,3323,2624,3884,2584
NODE_2_length_141101_cov_626.108738_39,17950,2396,11783,6074,4109,863
NODE_2_length_141101_cov_626.108738_40,159688,14543,102751,18018,16779,6974
NODE_2_length_141101_cov_626.108738_41,1171,68,1332,264,132,10
NODE_2_length_141101_cov_626.108738_42,1579,417,1638,1947,971,149
NODE_2_length_141101_cov_626.108738_43,15875,5882,12557,12683,8904,3611
NODE_2_length_141101_cov_626.108738_44,2504,575,2982,2318,1441,290
NODE_2_length_141101_cov_626.108738_45,2990,1844,3063,5439,3290,597
NODE_2_length_141101_cov_626.108738_46,3993,0,2874,2,0,0
NODE_2_length_141101_cov_626.108738_47,25608,2056,15921,6449,3978,734
NODE_2_length_141101_cov_626.108738_48,25753,20943,19038,22884,19122,11355
NODE_2_length_141101_cov_626.108738_49,10829,5397,8413,14137,7370,3929
NODE_2_length_141101_cov_626.108738_50,11115,2201,7618,2141,1005,799
NODE_2_length_141101_cov_626.108738_51,3172,838,3809,3829,1514,660
NODE_2_length_141101_cov_626.108738_52,7391,1199,9938,2569,1219,371
NODE_2_length_141101_cov_626.108738_53,25802,4514,20324,4726,4396,1771
NODE_2_length_141101_cov_626.108738_54,1117,175,2012,197,202,41
NODE_2_length_141101_cov_626.108738_55,2125,220,4241,176,147,100
NODE_2_length_141101_cov_626.108738_56,3047,329,5311,63,136,76
NODE_2_length_141101_cov_626.108738_57,2689,140,4081,162,194,44
NODE_2_length_141101_cov_626.108738_58,5200,2465,7787,1339,1490,1466
NODE_2_length_141101_cov_626.108738_59,2305,0,2600,0,0,0
NODE_2_length_141101_cov_626.108738_60,3115,159,5522,154,286,96
NODE_2_length_141101_cov_626.108738_61,7,7,165,4,2,0
NODE_2_length_141101_cov_626.108738_62,5191,1102,6799,691,1461,395
NODE_2_length_141101_cov_626.108738_63,12778,3789,20918,4241,3723,1489
NODE_2_length_141101_cov_626.108738_64,757,93,1875,73,56,19
NODE_2_length_141101_cov_626.108738_65,84764,12,53343,33,49,6
NODE_2_length_141101_cov_626.108738_66,1565,2,3124,5,2,6
NODE_2_length_141101_cov_626.108738_67,0,0,198,0,0,0
NODE_2_length_141101_cov_626.108738_68,6,0,192,0,0,0
NODE_2_length_141101_cov_626.108738_69,16194,2082,18340,2354,1872,777
NODE_2_length_141101_cov_626.108738_70,10209,1124,7504,2601,1825,403
NODE_2_length_141101_cov_626.108738_71,2185,699,3742,1994,1307,312
NODE_2_length_141101_cov_626.108738_72,2816,0,1877,2,0,0
NODE_2_length_141101_cov_626.108738_73,9818,1876,8824,2387,2514,630
NODE_2_length_141101_cov_626.108738_74,31639,3606,27636,3936,3852,1553
NODE_2_length_141101_cov_626.108738_75,95,0,844,9,37,4
NODE_2_length_141101_cov_626.108738_76,5205,2388,6450,2879,2253,873
NODE_2_length_141101_cov_626.108738_77,292,0,883,0,0,0
NODE_2_length_141101_cov_626.108738_78,626,18,1349,2,7,0
NODE_2_length_141101_cov_626.108738_79,1146,10,2139,120,52,0
NODE_2_length_141101_cov_626.108738_80,8067,7375,6433,10896,6488,2190
NODE_2_length_141101_cov_626.108738_81,1070,134,2686,250,191,60
NODE_2_length_141101_cov_626.108738_82,4027,356,7023,582,492,158
NODE_2_length_141101_cov_626.108738_86,1191,0,2835,0,6,6
NODE_2_length_141101_cov_626.108738_87,1000,0,1714,10,0,0
NODE_2_length_141101_cov_626.108738_88,133618,14955,135445,16064,13769,6809
NODE_2_length_141101_cov_626.108738_89,62327,8021,54125,12351,9421,4275
NODE_2_length_141101_cov_626.108738_90,124628,14465,109977,20387,15613,7148
NODE_2_length_141101_cov_626.108738_91,470,0,692,2,0,0
NODE_2_length_141101_cov_626.108738_92,21449,2076,14629,5339,3150,765
NODE_2_length_141101_cov_626.108738_93,31302,16789,19719,8236,10804,5031
NODE_2_length_141101_cov_626.108738_94,31754,4852,21839,9380,6482,1738
NODE_2_length_141101_cov_626.108738_95,56629,3137,29999,3006,2479,1160
NODE_2_length_141101_cov_626.108738_96,36371,3791,25060,2894,2518,907
NODE_2_length_141101_cov_626.108738_97,2437,633,4740,852,709,185
NODE_2_length_141101_cov_626.108738_98,13284,1892,16399,1369,1152,497
NODE_2_length_141101_cov_626.108738_99,2542,49,2941,85,113,40
NODE_2_length_141101_cov_626.108738_100,656,0,1559,2,4,0
NODE_3_length_123736_cov_497.957641_1,245,0,533,0,0,0
NODE_3_length_123736_cov_497.957641_2,328,0,865,4,0,0
NODE_3_length_123736_cov_497.957641_3,4188,442,5232,912,797,135
NODE_3_length_123736_cov_497.957641_4,93,0,615,0,0,0
NODE_3_length_123736_cov_497.957641_5,0,0,101,0,0,0
NODE_3_length_123736_cov_497.957641_6,73,0,101,0,0,0
NODE_3_length_123736_cov_497.957641_7,8729,1044,7211,1553,1198,366
NODE_3_length_123736_cov_497.957641_8,21844,3764,19814,5177,4066,1134
NODE_3_length_123736_cov_497.957641_9,2825,112,2423,146,119,13
NODE_3_length_123736_cov_497.957641_10,18272,3292,13758,7430,5139,1118
NODE_3_length_123736_cov_497.957641_11,46074,9499,40569,10648,9124,5004
NODE_3_length_123736_cov_497.957641_12,154,0,551,0,2,6
NODE_3_length_123736_cov_497.957641_13,1352,653,3606,495,599,220
NODE_3_length_123736_cov_497.957641_14,3047,142,5147,171,143,28
NODE_3_length_123736_cov_497.957641_15,658,0,2002,0,0,0
NODE_3_length_123736_cov_497.957641_16,42,0,70,0,0,0
NODE_3_length_123736_cov_497.957641_17,11,0,20,0,0,0
NODE_3_length_123736_cov_497.957641_18,17,0,30,0,0,0
NODE_3_length_123736_cov_497.957641_19,159,0,539,0,0,0
NODE_3_length_123736_cov_497.957641_20,148,100,405,16,72,37
NODE_3_length_123736_cov_497.957641_21,186,5,522,58,4,6
NODE_3_length_123736_cov_497.957641_22,75,24,582,59,103,6
NODE_3_length_123736_cov_497.957641_23,3041,594,5387,652,661,237
NODE_3_length_123736_cov_497.957641_24,48419,4493,48139,7268,5763,1831
NODE_3_length_123736_cov_497.957641_25,3789,15,3370,116,74,2
NODE_3_length_123736_cov_497.957641_26,2107,154,2453,355,336,52
NODE_3_length_123736_cov_497.957641_27,22275,2103,32554,2432,2325,812
NODE_3_length_123736_cov_497.957641_28,490,0,1299,0,0,0
NODE_3_length_123736_cov_497.957641_29,293,2,947,0,2,0
NODE_3_length_123736_cov_497.957641_30,2809,0,7706,2,2,2
NODE_3_length_123736_cov_497.957641_31,478,6,1684,0,4,0
NODE_3_length_123736_cov_497.957641_32,3467,3717,4367,5051,5241,1584
NODE_3_length_123736_cov_497.957641_33,7052,2023,11625,4134,2889,740
NODE_3_length_123736_cov_497.957641_34,29871,382,20645,267,278,24
NODE_3_length_123736_cov_497.957641_35,70586,1816,42290,3792,2461,611
NODE_3_length_123736_cov_497.957641_36,31797,9238,22869,8366,8046,3040
NODE_3_length_123736_cov_497.957641_37,4926,757,5910,1625,941,187
NODE_3_length_123736_cov_497.957641_38,24302,868,17062,1238,948,285
NODE_3_length_123736_cov_497.957641_39,21100,851,15159,800,923,312
NODE_3_length_123736_cov_497.957641_40,64970,5790,45614,3610,5294,1970
NODE_3_length_123736_cov_497.957641_41,6187,2537,5494,5589,3722,875
NODE_3_length_123736_cov_497.957641_42,1452,164,2976,378,240,45
NODE_3_length_123736_cov_497.957641_43,333,0,930,0,4,0
NODE_3_length_123736_cov_497.957641_44,1696,174,3624,263,256,119
NODE_3_length_123736_cov_497.957641_45,135,4,539,0,0,4
NODE_3_length_123736_cov_497.957641_46,147,0,795,0,6,0
NODE_3_length_123736_cov_497.957641_47,397,0,1232,0,10,6
NODE_3_length_123736_cov_497.957641_48,447,11,950,82,32,4
NODE_3_length_123736_cov_497.957641_49,506,11,805,115,45,4
NODE_3_length_123736_cov_497.957641_50,2070,124,4385,207,143,22
NODE_3_length_123736_cov_497.957641_51,9512,539,11265,970,839,115
NODE_3_length_123736_cov_497.957641_52,146437,62430,97385,49631,42801,23419
NODE_3_length_123736_cov_497.957641_53,326794,31630,194545,37914,37991,11979
NODE_3_length_123736_cov_497.957641_54,3979,232,10507,293,247,140
NODE_3_length_123736_cov_497.957641_55,301,11,853,3,8,0
NODE_3_length_123736_cov_497.957641_56,1743,125,5222,233,185,32
NODE_3_length_123736_cov_497.957641_57,4274,223,13461,166,144,62
