graph,SS0127_S17,SS0126_S16,SS0124_S14,SS0125_S15,SS0123_S13,SS0122_S12
Cyanobacteriota,0.9936559437832164,0.9141555423701522,0.9909956533518979,0.9631132738206135,0.9414821760924382,0.9633025300207108
unclassified Bacteria,0.004222425948820921,0.06807105990879841,0.005127308193592549,0.027743023419694927,0.04446889163219381,0.01609713377930193
Pseudomonadota (Proteobacteria),0.0004594486422346173,0.011857390634977196,0.0011071928710892891,0.006197671440978057,0.009380771457652612,0.008718597776977541
Bacteroidota,0.0012034353614319715,0.004536549297952935,0.0021586078861337474,0.0015112763501149598,0.004210267688522063,0.01002322166094707
Bacillati (Firmicutes),0.0004511594098588471,0.0006678835999743946,0.0006023754273980352,0.0013056137369585816,0.0002234905028722413,0.0009274461256779769
Bdellovibrionota,1.6805490641973e-07,0.00012590600788732993,9.321522616731405e-07,7.004604202556218e-06,1.495472224967629e-05,0.0006413208723220602
Myxococcota,2.086338560210979e-06,0.00014539780438387596,1.1036471698133994e-06,4.045679682339285e-05,8.383901855659899e-05,0.0001398426367594191
Actinomycetota,1.0243860825710556e-06,0.0002634400741894032,4.233883728482038e-06,4.2973337542761953e-05,7.106710729845719e-05,6.068487797194845e-06
Planctomycetota,4.308074887968398e-06,0.00014692777103612257,2.1947168258191083e-06,3.098978104285581e-05,5.2158876235058643e-05,0.00011982919059174697
Verrucomicrobiota,0.0,2.990253064822339e-05,3.978699027568107e-07,7.716712028398915e-06,1.2382901981373153e-05,2.4009448914490623e-05
