,SS0127_S17,SS0126_S16,SS0124_S14,SS0125_S15,SS0123_S13,SS0122_S12
Chroococcales,5.723845871158568e-06,7.024980673611538e-06,1.383167667462963e-05,4.3820745437949265e-06,4.767797020358456e-06,1.0731574901959349e-05
Nostocales,2.280489541778242e-05,0.0016787227203115857,6.670810433739834e-05,4.645078152283732e-05,2.072871322210538e-05,4.610769727324698e-05
Synechococcales,5.404270584524372e-06,0.0005342330768335408,4.138767522158387e-06,0.00013300092420137058,0.0005184299168196658,0.0017297139984242347
unclassified Cyanobacteriota,0.0023860325705297256,0.13989510607606587,0.004066877274288655,0.15358084236708597,0.11129686066576354,0.15997380427822022
Hydrocoleum,6.857696091023988e-05,0.0021411497422371786,0.00020386334173448284,0.0018120230196769943,0.002060355298276664,0.0022664478148351243
Okeania,0.0021285118959591784,0.010640437640223491,0.0037739009309727786,0.009376989615036099,0.010545344678289948,0.009021675134303074
unclassified Microcoleaceae,0.006675738395648885,0.015283509511347448,0.008306095838507117,0.029180840696202023,0.02406634881820873,0.019669889115233534
Trichodesmium erythraeum,0.9410438624993646,0.5995771183238858,0.9266005395396203,0.5702624479595512,0.6236077313306592,0.6305427434003039
Trichodesmium sp.,0.007277377776709107,0.12933572335899352,0.011881030717366937,0.17854794686738587,0.1476862377938679,0.1226060939238262
unclassified Trichodesmium,0.034491514836567455,0.01611612667245393,0.03669408392240726,0.02095749768127344,0.02252987061263537,0.01778534593225031
