"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"NODE_1_length_148236_cov_916.668891_1",509.290980807585,0.250897362508766,0.435975358519102,0.575485191091995,0.564963203229419,0.631240887007587,NA
"NODE_1_length_148236_cov_916.668891_2",310.523502261711,0.439812265233387,0.534928595256027,0.822188735344919,0.410969488889388,0.481749780205793,NA
"NODE_1_length_148236_cov_916.668891_3",10115.706400808,-1.18323314653284,0.436867022510046,-2.70845150941928,0.00675979894596187,0.0135532128049868,"Significant"
"NODE_1_length_148236_cov_916.668891_4",1149.21186461551,1.88221553660107,0.389637630180163,4.83068212823991,1.36066085272188e-06,5.00465483926854e-06,"Significant"
"NODE_1_length_148236_cov_916.668891_5",1693.39071020401,-1.11920119571216,0.586894225346232,-1.90698961989598,0.0565219316734687,0.0908794522368515,NA
"NODE_1_length_148236_cov_916.668891_6",1300.1885854438,-1.17582692467724,0.357130287654719,-3.29243126478832,0.00099325173520258,0.00234388585338914,"Significant"
"NODE_1_length_148236_cov_916.668891_7",84.1924686138779,-0.111713165132684,0.647014166334814,-0.172659535053944,0.86291905235585,0.890582108276083,NA
"NODE_1_length_148236_cov_916.668891_8",39.36900347597,8.19192337410232,1.62738625635312,5.03379166569832,4.80872265854782e-07,1.86596951191221e-06,"Significant"
"NODE_1_length_148236_cov_916.668891_9",354.966264297656,-1.02932483545776,0.635187346417889,-1.62050588895165,0.105123650337654,0.156401677632915,NA
"NODE_1_length_148236_cov_916.668891_10",788.055617094861,-0.695550442000082,0.667138129818106,-1.04258835001639,0.297138987176809,0.374888363049626,NA
"NODE_1_length_148236_cov_916.668891_11",1499.94717061614,-0.898900528763552,0.391707722953939,-2.2948246258327,0.0217431767747645,0.0388723559442421,"Significant"
"NODE_1_length_148236_cov_916.668891_12",1216.76930567803,-2.68710266776921,0.315671199468194,-8.5123466198251,1.70448149449692e-17,1.76860843307664e-16,"Significant"
"NODE_1_length_148236_cov_916.668891_13",294.2763037221,-0.177014052470034,0.596339660994369,-0.296834277590848,0.766593034514479,0.809117828874856,NA
"NODE_1_length_148236_cov_916.668891_14",24.6121100583149,3.9368763046239,1.56053452437737,2.52277424377692,0.0116433122661462,0.0222135928250247,"Significant"
"NODE_1_length_148236_cov_916.668891_15",97.5477589921287,4.91945549319825,1.31401421585431,3.74383734501675,0.000181230998781353,0.00048605729068157,"Significant"
"NODE_1_length_148236_cov_916.668891_16",79.9824663265039,3.25251208433271,0.900043786682957,3.61372650137344,0.000301827443698481,0.000773244467714082,"Significant"
"NODE_1_length_148236_cov_916.668891_17",932.562548499144,1.26115401062592,0.326890085334017,3.8580368974399,0.000114301395616432,0.000317308169404698,"Significant"
"NODE_1_length_148236_cov_916.668891_18",11678.2827288421,-0.339573112533781,0.383775238965016,-0.884822880833998,0.376252166801379,0.450152196736933,NA
"NODE_1_length_148236_cov_916.668891_19",5151.54692352636,1.06418200563603,0.479195104457211,2.22076977777442,0.0263665585522942,0.0461823854493742,"Significant"
"NODE_1_length_148236_cov_916.668891_20",8193.29477129581,-1.91697811752671,0.30569090290767,-6.2709688096466,3.5880849596833e-10,1.9829007625053e-09,"Significant"
"NODE_1_length_148236_cov_916.668891_21",543.181522085615,-0.118481577574651,0.352974960366438,-0.335665672861469,0.737122994440294,0.783777520272004,NA
"NODE_1_length_148236_cov_916.668891_22",317.228231729294,-0.864535120190561,0.662729624320495,-1.30450652643901,0.192060935745399,0.261275697775753,NA
"NODE_1_length_148236_cov_916.668891_23",2354.87260757834,0.0632218386596695,0.370703169892168,0.170545719040007,0.86458098237198,0.891971143870301,NA
"NODE_1_length_148236_cov_916.668891_24",3011.82008621731,-1.3981675185381,0.433446145407109,-3.22570066282372,0.00125664710795383,0.00291667518175578,"Significant"
"NODE_1_length_148236_cov_916.668891_25",624.960500995888,0.771514744753018,0.385342560249187,2.00215295256799,0.04526828389612,0.0745113840879565,NA
"NODE_1_length_148236_cov_916.668891_26",210.252900808189,0.17708425934297,0.64611809548527,0.274074136880458,0.784027648877621,0.823825884206024,NA
"NODE_1_length_148236_cov_916.668891_27",2281.59232456978,-0.129803035600698,0.505082657533846,-0.256993649780977,0.79718367522411,0.835365616104275,NA
"NODE_1_length_148236_cov_916.668891_28",962.886959304638,-0.155541035060472,0.400172285403405,-0.38868517569545,0.697509049857572,0.750134526247182,NA
"NODE_1_length_148236_cov_916.668891_29",1265.43308710372,1.25416879746103,0.438665987626635,2.85905183633362,0.00424909345236305,0.00888103536439348,"Significant"
"NODE_1_length_148236_cov_916.668891_30",800.191693312255,0.149121689367289,0.316219610184163,0.471576349361896,0.637229211302035,0.696632631645491,NA
"NODE_1_length_148236_cov_916.668891_31",813.731979811564,0.918161572399,0.354784573988698,2.58794107668348,0.00965514951120306,0.0187758729699946,"Significant"
"NODE_1_length_148236_cov_916.668891_32",269.28179181507,5.37298620353713,0.913684218240878,5.88057240813656,4.08850102733244e-09,2.01146648451039e-08,"Significant"
"NODE_1_length_148236_cov_916.668891_33",30.9074393400552,7.84284154262405,1.76979922093383,4.43148660585678,9.3585627290612e-06,3.05705828036116e-05,"Significant"
"NODE_1_length_148236_cov_916.668891_34",1102.76789164382,-0.641021056874792,0.354783647811704,-1.80679425567834,0.0707943647028936,0.111105817597665,NA
"NODE_1_length_148236_cov_916.668891_35",7420.22803366156,0.53741235713793,0.55246511017396,0.972753477534012,0.330675839610592,0.40739878767293,NA
"NODE_1_length_148236_cov_916.668891_36",124529.066814319,-3.09930457711634,0.373111663345624,-8.30664083059061,9.84493677867986e-17,9.4831717525691e-16,"Significant"
"NODE_1_length_148236_cov_916.668891_37",209.528656301542,9.88074545633003,1.18598129296484,8.33128272338016,7.997109719677e-17,7.78293425247186e-16,"Significant"
"NODE_1_length_148236_cov_916.668891_38",14.2926107643091,6.73007235792089,2.30398065500487,2.92106287581076,0.0034883941798703,0.00740070997769026,"Significant"
"NODE_1_length_148236_cov_916.668891_39",5.60721329895975,5.38027115527363,3.33480986941342,1.61336668834436,0.10666486586032,0.158499722576224,NA
"NODE_1_length_148236_cov_916.668891_40",3192.85202625309,0.832683229547131,0.40424103242616,2.05986815477281,0.0394111468221621,0.0659735429306537,NA
"NODE_1_length_148236_cov_916.668891_41",9404.3900930009,-1.53214688259276,0.420327058251952,-3.64513026823594,0.000267256391273198,0.000691371788851259,"Significant"
"NODE_1_length_148236_cov_916.668891_42",4532.21250553001,-2.37447758973198,0.645523233541026,-3.67837665068498,0.000234723160133406,0.00061472347567261,"Significant"
"NODE_1_length_148236_cov_916.668891_43",4.20052110150392,4.96346325788933,3.6853300789404,1.34681647276393,0.17803934804432,0.244995800404885,NA
"NODE_1_length_148236_cov_916.668891_44",20377.6260235409,0.678656764618809,0.466108121056483,1.45600716649296,0.145390638510826,0.206755548584341,NA
"NODE_1_length_148236_cov_916.668891_45",16008.4959377904,-0.20088936946754,0.395441679218646,-0.508012635047671,0.611444482316464,0.67348776268681,NA
"NODE_1_length_148236_cov_916.668891_46",1943.40238097814,-2.26197096457036,0.36236277527822,-6.24228292443568,4.31230019577166e-10,2.36172352895205e-09,"Significant"
"NODE_1_length_148236_cov_916.668891_47",292.774351285837,-0.0311466190121597,0.642678327762369,-0.0484637767708828,0.961346632451602,0.969129888911503,NA
"NODE_1_length_148236_cov_916.668891_48",14393.8049303121,-1.35840230526518,0.357475523998739,-3.79998689160597,0.000144703741951549,0.000393830467085749,"Significant"
"NODE_1_length_148236_cov_916.668891_49",5566.41494252375,-0.72083424473916,0.265744992018398,-2.71250358949099,0.00667770581530421,0.0134172128946798,"Significant"
"NODE_1_length_148236_cov_916.668891_50",8707.16468503958,0.476853502025572,0.301581224838749,1.58117768200105,0.113837416818516,0.167628070991717,NA
"NODE_1_length_148236_cov_916.668891_51",620.360106497448,0.116376106906219,0.544997571352386,0.213535092674701,0.83090962024892,0.864076609512111,NA
"NODE_1_length_148236_cov_916.668891_52",451.055409247198,0.565080595972892,0.483300364440579,1.16921202123854,0.242318219025178,0.31883579805535,NA
"NODE_1_length_148236_cov_916.668891_53",347.693739782423,0.287657130902441,0.555835197481338,0.51752233792661,0.604791579617866,0.667027524374687,NA
"NODE_1_length_148236_cov_916.668891_54",18.4618860961505,3.46365849845486,1.78147428087335,1.94426522776227,0.0518634755420309,0.0841563908421571,NA
"NODE_1_length_148236_cov_916.668891_55",24.4763463954081,3.68903733952702,2.20863953817121,1.67027587606333,0.0948647938391934,0.142972625389187,NA
"NODE_1_length_148236_cov_916.668891_56",8887.64222852455,0.409681517268042,0.316861263887311,1.29293657496027,0.19603299630113,0.265739894281406,NA
"NODE_1_length_148236_cov_916.668891_57",1163.57562056629,1.75993857038719,0.46716193947526,3.76729870666271,0.000165023504771016,0.00044512711529028,"Significant"
"NODE_1_length_148236_cov_916.668891_58",1020.47698551248,-0.513386054425336,0.440480668632455,-1.16551324719704,0.243811301142879,0.320252914486,NA
"NODE_1_length_148236_cov_916.668891_59",22.8330130606245,7.40604089192613,1.9952405214788,3.71185368991856,0.000205746912167172,0.000545245416375414,"Significant"
"NODE_1_length_148236_cov_916.668891_60",317.604792033762,1.63784180397419,0.476678092318448,3.43594939722974,0.000590481250918644,0.00144748255689871,"Significant"
"NODE_1_length_148236_cov_916.668891_61",710.63041045015,1.36941029666984,0.368839638040541,3.71275252287098,0.000205017335555386,0.00054382261282815,"Significant"
"NODE_1_length_148236_cov_916.668891_62",82.1498036364458,7.26485588480341,1.18631870836723,6.12386522573034,9.13321590388683e-10,4.84226293413962e-09,"Significant"
"NODE_1_length_148236_cov_916.668891_63",4939.35519869495,-2.99973011890642,0.528172102427978,-5.67945581585401,1.35123948388702e-08,6.26901080003914e-08,"Significant"
"NODE_1_length_148236_cov_916.668891_64",282.301982032572,-2.36995245216219,0.435034320220242,-5.4477367462925,5.10147881747311e-08,2.19929842910106e-07,"Significant"
"NODE_1_length_148236_cov_916.668891_65",129.671942760482,0.055587163836926,1.13778325099315,0.0488556706986194,0.961034316304341,0.969129888911503,NA
"NODE_1_length_148236_cov_916.668891_66",863.109020090288,-3.36627472195473,0.614736531260432,-5.47596336116978,4.351377240357e-08,1.90108932374111e-07,"Significant"
"NODE_1_length_148236_cov_916.668891_67",757.364717911781,-3.66338449702978,0.716905981235259,-5.10999293201268,3.22170864634813e-07,1.27468257516961e-06,"Significant"
"NODE_1_length_148236_cov_916.668891_68",462.601474185209,-2.23889756481484,0.673605030460616,-3.32375422327809,0.000888144313596049,0.00211055792961486,"Significant"
"NODE_1_length_148236_cov_916.668891_69",20.1944406263203,-0.037750982344591,1.10887057006508,-0.0340445344693161,0.972841637896076,0.977691412233362,NA
"NODE_1_length_148236_cov_916.668891_70",1363.38831291781,-0.126507985822004,0.272766804565988,-0.463795387504342,0.642794348306368,0.701267845266077,NA
"NODE_1_length_148236_cov_916.668891_71",938.995953551928,8.17301202559596,0.652394171412894,12.5277207917042,5.26541919219927e-36,2.47679468335285e-34,"Significant"
"NODE_1_length_148236_cov_916.668891_72",135167.701383475,-1.56171646558504,0.434138569025502,-3.59727648499551,0.000321566617564955,0.000819844791003455,"Significant"
"NODE_1_length_148236_cov_916.668891_73",235.701643288701,-2.1371265614249,0.83503465751345,-2.55932678026657,0.0104875106704019,0.0201996708021593,"Significant"
"NODE_1_length_148236_cov_916.668891_74",8911.12291702687,-2.71576904157735,0.445629264795694,-6.09423405534741,1.09962673869295e-09,5.76861189375042e-09,"Significant"
"NODE_1_length_148236_cov_916.668891_75",9771.60423197447,-3.02164925121881,0.416507293135299,-7.25473311276988,4.0245458842054e-13,2.82084685443437e-12,"Significant"
"NODE_1_length_148236_cov_916.668891_76",115.894916118546,8.365193737981,1.22130373581031,6.84939666743169,7.41620952738529e-12,4.72483416616789e-11,"Significant"
"NODE_1_length_148236_cov_916.668891_77",340.568643549041,-2.57829614834758,0.75060002092457,-3.43498011786851,0.000592597304612551,0.00145140913455437,"Significant"
