gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_1_length_148236_cov_916.668891_1,3547,347,106,2275,244,219
NODE_1_length_148236_cov_916.668891_2,2858,138,34,1109,183,250
NODE_1_length_148236_cov_916.668891_3,22330,8156,3183,31274,5802,5904
NODE_1_length_148236_cov_916.668891_4,11079,212,112,11213,457,478
NODE_1_length_148236_cov_916.668891_5,6276,1682,572,3512,740,660
NODE_1_length_148236_cov_916.668891_6,4531,595,378,2719,1111,1045
NODE_1_length_148236_cov_916.668891_7,612,32,15,231,62,72
NODE_1_length_148236_cov_916.668891_8,741,0,0,468,0,0
NODE_1_length_148236_cov_916.668891_9,1292,220,27,856,339,400
NODE_1_length_148236_cov_916.668891_10,3815,363,56,1967,965,714
NODE_1_length_148236_cov_916.668891_11,7057,1056,348,2904,927,1220
NODE_1_length_148236_cov_916.668891_12,1542,909,258,1132,1165,1235
NODE_1_length_148236_cov_916.668891_13,1534,68,49,1209,267,277
NODE_1_length_148236_cov_916.668891_14,535,0,0,165,6,4
NODE_1_length_148236_cov_916.668891_15,2167,0,0,744,6,16
NODE_1_length_148236_cov_916.668891_16,1789,8,2,362,12,24
NODE_1_length_148236_cov_916.668891_17,7133,338,119,7992,355,483
NODE_1_length_148236_cov_916.668891_18,42022,8412,2747,55432,6550,6527
NODE_1_length_148236_cov_916.668891_19,31440,2648,966,45719,1451,1913
NODE_1_length_148236_cov_916.668891_20,15063,5679,2767,13745,5634,6410
NODE_1_length_148236_cov_916.668891_21,3335,288,95,1956,420,349
NODE_1_length_148236_cov_916.668891_22,1130,82,48,942,250,458
NODE_1_length_148236_cov_916.668891_23,9451,1272,437,14197,1305,1694
NODE_1_length_148236_cov_916.668891_24,7637,3107,726,6826,1707,1892
NODE_1_length_148236_cov_916.668891_25,4215,194,102,4381,303,433
NODE_1_length_148236_cov_916.668891_26,1316,131,14,1005,110,201
NODE_1_length_148236_cov_916.668891_27,11425,1445,752,10118,860,997
NODE_1_length_148236_cov_916.668891_28,4825,362,284,4159,529,684
NODE_1_length_148236_cov_916.668891_29,10667,340,113,10030,647,793
NODE_1_length_148236_cov_916.668891_30,4923,311,163,3749,528,550
NODE_1_length_148236_cov_916.668891_31,7811,289,156,4386,330,432
NODE_1_length_148236_cov_916.668891_32,4878,22,0,3035,14,4
NODE_1_length_148236_cov_916.668891_33,640,0,0,321,0,0
NODE_1_length_148236_cov_916.668891_34,3874,576,200,4121,977,882
NODE_1_length_148236_cov_916.668891_35,36575,2392,726,54759,3967,7396
NODE_1_length_148236_cov_916.668891_36,80139,105006,39068,120696,93287,105766
NODE_1_length_148236_cov_916.668891_37,3839,0,0,2567,1,0
