Phage Genome,Type,Short
Cylindrospermopsis_raciborskii_virus_RM-2018a,Diazotroph phage,C. raciborskii virus RM-2018a
Microcystis_MaMV-DC,Cyanophage,Microcystis phage MaMV-DC
Microcystis_phage_LMM01,Cyanophage,Microcystis phage LMM01
Microcystis_phage_Mae-JY29,Cyanophage,Microcystis phage Mae-JY29
Nodularia_phage_vB_NspS-kac65v162,Diazotroph phage,Nodularia phage vB NspS
Prochlorococcus_phage_P-SSM2,Cyanophage,Pro phage P-SSM2
Prochlorococcus_phage_P-SSM4,Cyanophage,Pro phage P-SSM4
Synechococcus_phage_S-PM2,Cyanophage,Syn phage S-PM2
Synechococcus_phage_S-RSM4,Cyanophage,Syn phage S-RSM4
Synechococcus_phage_syn9,Cyanophage,Syn phage syn9
Anabaena_phage_A-4L,Diazotroph phage,Anabaena phage A-4L
Cyanophage_Syn5,Cyanophage,Cyanophage Syn5
Cyanophage_SS120-1,Cyanophage,Cyanophage SS120-1
Planktothrix_phage_PaV-LD,Diazotroph phage,Planktothrix phage PaV-LD
Synechococcus_phage_P60,Cyanophage,Syn phage P60
Synechococcus_phage_S-CBP42,Cyanophage,Syn phage S-CBP42
col_unified,Trichodesmium phage,T.NPSG.1
Trichodesmium phage NPSG.2,Trichodesmium phage,NPSG.2
Enterobacteria_phage_T4,,T4
Enterobacteria_phage_T7,,T7
Enterobacteria_phage_lambda,,Lambda
