,frac_genes,phage_tpm,Region,sample_type,tricho_tpm,rel_tpm,log_tpm,Latitude,Longitude
SS0122_S12,0.413580247,110.0412185,North Pacific,Dilute,968941.3181,0.000113569,2.041555391,24.70 N,158.69 W
SS0126_S16,0.543209877,105.0530488,North Pacific,Dilute,795082.689,0.000132128,2.021408661,26.5 N,158.49 W
SS0123_S13,0.567901235,90.60170652,North Pacific,Dilute,943721.2455,9.60E-05,1.957136378,24.70 N,158.69 W
SS0125_S15,0.524691358,57.47852317,North Pacific,Dilute,993292.3638,5.79E-05,1.759505601,26.5 N,158.49 W
SS0124_S14,1,10718.76779,North Pacific,Concentrated,3671001.826,0.002919848,4.030144863,24.97 N,158.46 W
SS0127_S17,1,11903.13993,North Pacific,Concentrated,4534592.49,0.002624964,4.075661539,26.5 N,158.49 W
SRR3924004,0.666666667,7417.119277,South Pacific,Concentrated,165514.0783,0.044812619,3.870235263,22.29 S,166.27 E
SRR3924003,0.703703704,1361.242515,South Pacific,Concentrated,37754.97926,0.036054649,3.133935505,22.29 S,166.27 E
SRR3924002,0.962962963,2000.661883,South Pacific,Concentrated,128868.7717,0.0155248,3.301173698,22.29 S,166.27 E
SRR2975930,0.00617284,1.563550883,South Pacific,Whole seawater,4416.904993,0.000353992,0.194112019,22.28 S,166.26 E
SRR2975931,0,0,South Pacific,Whole seawater,1073.849209,0,,22.28 S,166.26 E
SRR2975929,0,0,South Pacific,Whole seawater,949.505274,0,,22.28 S,166.26 E
