#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	487903	149184	99.9893	463.72	39.2	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	36	1547	41.6308	0.875135	38.5	31.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	2430	2041	59.0396	82.4281	39.3	35.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	39	1345	81.0241	3.29157	39.6	59.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	72	1769	66.5038	1.66579	39.2	26.5
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	25	1170	43.3815	1.3007	38.5	40
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	12159	1990	100	886.056	39.1	48
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	3917	1307	100	428.538	39.3	44.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	122	2214	56.079	1.66388	39.6	35.9
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	16	1028	78.7136	1.84609	37.9	54.6
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	5	482	41.8403	0.499132	38.7	48
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	24	1406	45.7385	0.97918	39.8	46.1
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	7	472	41.2948	0.694663	39.6	56
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	6358	1543	91.6815	511.004	39.2	55.3
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	917	964	74.1538	103.871	39.1	12.5
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	14	1316	22.1997	0.314946	39.9	35.6
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	5500	1184	100	652.946	39.3	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	15	659	53.2741	1.22878	38.9	40.8
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	3296	4711	53.9572	53.9745	39.2	57.9
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	53	1609	64.6444	1.86219	38.8	32.6
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	46	1178	56.9908	1.36139	39.5	23.1
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	269	1179	79.4474	20.7763	39	23.6
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	6	326	16.6157	0.33945	39.1	48.3
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	8	694	67.9726	0.834476	39.9	45
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	5055	1748	90.9469	347.902	39.4	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	138	2554	58.3238	4.3245	39	16.1
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	596	1404	67.8261	42.872	38.9	52.7
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	661	975	70.2956	22.9834	39.3	19.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	31	1408	37.0917	0.850632	38.9	39.7
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	29	1431	56.5613	1.48893	38.6	50.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	14	1352	40.5641	0.59526	39.7	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	1135	1387	93.9066	94.6486	39.4	55.8
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	25	1954	46.6571	0.877746	39.7	55.5
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	136	1609	99.9379	10.118	39.3	43.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	3619	2630	74.8861	128.257	39.2	49.2
Bin_1_Bin_1_Bin_1-contigs_c_000000000845	1	7296	306	3620	49.6162	2.07305	39.4	15.7
Bin_1_Bin_1_Bin_1-contigs_c_000000016860	1	1021	2	20	1.95886	0.0381978	39.3	3
Bin_1_Bin_1_Bin_1-contigs_c_000000008477	1	1613	7	605	37.5077	0.654681	38.9	60
Bin_1_Bin_1_Bin_1-contigs_c_000000005527	1	2131	5	399	18.7236	0.253402	39.5	48
Bin_1_Bin_1_Bin_1-contigs_c_000000016557	1	1033	1000	962	93.1268	123.069	39.4	46.4
Bin_1_Bin_1_Bin_1-contigs_c_000000008074	1	1666	6580	1539	92.377	575.649	39.3	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000005009	1	2273	94	1658	72.9432	2.35064	39.2	17.2
Bin_1_Bin_1_Bin_1-contigs_c_000000012136	1	1268	65	180	14.1956	4.11593	39.6	47.8
Bin_1_Bin_1_Bin_1-contigs_c_000000005877	1	2050	3001	894	43.6098	179.113	39.3	31
Bin_1_Bin_1_Bin_1-contigs_c_000000002923	1	3196	10567	3021	94.5244	472.454	39.3	57.8
