,baseMean,log2FoldChange,padj,seed_ortholog,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
NODE_28368_length_285_cov_2.326087_1,4234.97335722332,-17.403863697351,2.9158527613839697e-30,203124.Tery_3886,8.03e-25,,96.3,"2BYWW@1|root,2ZXE8@2|Bacteria,1G5X0@1117|Cyanobacteria,1HB41@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM Chloroplast import component protein (Tic20),ycf60,-,-,-,,-,Significant
NODE_3065_length_893_cov_4.675418_1,3500.13458287871,-17.129011122324,1.23972130386398e-27,203124.Tery_2438,6.279999999999999e-147,,421.0,"COG1403@1|root,COG3344@1|root,COG1403@2|Bacteria,COG3344@2|Bacteria,1G065@1117|Cyanobacteria,1H9JB@1150|Oscillatoriales",1117|Cyanobacteria,L,reverse transcriptase,-,-,2.7.7.49,ko:K00986,,-,Significant
NODE_71776_length_236_cov_2.099448_1,3467.28770794952,-17.1153376261977,9.60318179345917e-28,203124.Tery_3634,4.15e-21,,91.7,"COG1403@1|root,COG3344@1|root,COG1403@2|Bacteria,COG3344@2|Bacteria,1G065@1117|Cyanobacteria,1H9JB@1150|Oscillatoriales",1117|Cyanobacteria,L,reverse transcriptase,-,-,2.7.7.49,ko:K00986,,-,Significant
NODE_78634_length_230_cov_1.640000_1,3329.14930143311,-17.0565919268572,7.19617453836939e-29,1173025.GEI7407_1621,2.96e-18,53.7,82.8,"COG2876@1|root,COG2876@2|Bacteria,1G0IX@1117|Cyanobacteria,1H7HK@1150|Oscillatoriales",1117|Cyanobacteria,E,PFAM DAHP synthetase I,ccmA,-,2.5.1.54,ko:K03856,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",Significant
NODE_78886_length_230_cov_1.097143_1,3161.58068681218,-16.9813127858316,7.379455353040629e-28,203124.Tery_2435,5.4600000000000005e-43,81.2,151.0,"COG0019@1|root,COG0019@2|Bacteria,1G1S7@1117|Cyanobacteria,1H71V@1150|Oscillatoriales",1117|Cyanobacteria,E,Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine,lysA,-,4.1.1.20,ko:K01586,diaminopimelate decarboxylase [EC:4.1.1.20],"ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00300,map01100,map01110,map01120,map01130,map01230",Significant
NODE_22187_length_314_cov_1.432432_1,3015.72929171816,-16.9143548821421,2.06339022657966e-27,203124.Tery_3007,5.5999999999999995e-61,150.3,188.0,"COG0091@1|root,COG0091@2|Bacteria,1G5RR@1117|Cyanobacteria,1HB2C@1150|Oscillatoriales",1117|Cyanobacteria,J,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",rplV,"GO:0003674,GO:0003735,GO:0005198",-,ko:K02890,large subunit ribosomal protein L22,"ko03010,map03010",Significant
NODE_24228_length_301_cov_1.951220_1,3017.03564680915,-16.9135895188598,1.01821003233671e-27,203124.Tery_0485,4.03e-55,,190.0,"COG1032@1|root,COG5011@1|root,COG1032@2|Bacteria,COG5011@2|Bacteria,1FZZ6@1117|Cyanobacteria,1H9M4@1150|Oscillatoriales",1117|Cyanobacteria,C,protein conserved in bacteria (DUF2344),-,-,-,-,,-,Significant
NODE_20581_length_325_cov_2.133333_1,2928.41236224348,-16.8718896677393,2.81705325402695e-26,203124.Tery_2491,2.91e-41,,139.0,"2BF1P@1|root,328TI@2|Bacteria,1G6PD@1117|Cyanobacteria,1HDEI@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_9839_length_454_cov_2.208020_1,2919.93924414867,-16.8663033881547,1.07169381006669e-28,203124.Tery_2568,5.8299999999999995e-40,80.6,135.0,"COG1259@1|root,COG1259@2|Bacteria,1G4YX@1117|Cyanobacteria,1H904@1150|Oscillatoriales",1117|Cyanobacteria,S,"PFAM Uncharacterised ACR, COG1259",-,-,-,ko:K08999,uncharacterized protein,-,Significant
NODE_17528_length_349_cov_0.901361_1,2816.36794158461,-16.8157360199788,3.9212484627468e-28,203124.Tery_2982,2.29e-45,47.9,157.0,"COG0216@1|root,COG0216@2|Bacteria,1FZY4@1117|Cyanobacteria,1H81Q@1150|Oscillatoriales",1117|Cyanobacteria,J,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA,prfA,-,-,ko:K02835,peptide chain release factor 1,-,Significant
