#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	1684	45592	30.5576	1.31131	38.9	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000016125	1	1052	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000000845	1	7296	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000016860	1	1021	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008477	1	1613	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000005527	1	2131	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000016557	1	1033	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008074	1	1666	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000005009	1	2273	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000012136	1	1268	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000005877	1	2050	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002923	1	3196	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000017030	1	1014	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008355	1	1629	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000004841	1	2331	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000008772	1	1579	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000004486	1	2434	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000010647	1	1389	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000004013	1	2606	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000002315	1	3743	0	0	0	0	0	0
Bin_1_Bin_1_Bin_1-contigs_c_000000003462	1	2869	0	0	0	0	0	0
