#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	130258	138893	93.0918	81.8276	37.9	59
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	4102	3716	100	110.375	37.6	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	4078	3457	100	115.428	37.8	57.7
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	1614	1660	100	96.888	37.8	58.9
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	2760	2660	100	101.942	37.5	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	2665	2697	100	98.2766	37.6	57.3
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	1546	1990	100	75.3	37.6	47.7
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	687	1307	100	50.3558	38	46.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	4366	3948	100	109.04	37.6	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	1208	1305	99.9234	92.2167	37.9	54.7
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	752	1142	99.1319	63.697	37.8	33.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	3448	3074	100	109.898	37.5	57.1
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	1010	1143	100	86.4794	37.7	54
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	1944	1683	100	112.553	37	55.6
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	968	1300	100	72.04	37.6	23.6
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	3425	5924	99.9325	57.5548	37.9	29.4
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	1724	1184	100	142.745	37.3	57.8
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	1274	1237	100	101.109	37.5	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	10342	8731	100	117.112	37.6	58.5
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	2683	2489	100	104.108	37.4	55
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	2369	2067	100	113.106	37.5	58.3
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	2106	1484	100	131.089	37.3	50.1
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	2132	1962	100	107.733	37.4	59.6
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	1023	1021	100	96.8482	38	58.1
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	2666	1922	100	134.916	37.8	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	3288	4357	99.4976	74.8758	38	56.2
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	2410	2070	100	115.574	37.5	59.1
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	1490	1387	100	103.348	37.7	57.2
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	3996	3796	100	103.862	37.8	57.6
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	2776	2530	100	108.328	37.8	57.5
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	480	3333	100	14.3405	38	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	890	1455	98.5105	58.1043	37.6	49.1
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	4319	4188	100	102.402	37.8	59.4
Bin_1_Bin_1_Bin_1-contigs_c_000000008501	1	1610	2754	1609	99.9379	169.796	37.7	43.3
Bin_1_Bin_1_Bin_1-contigs_c_000000002522	1	3512	4260	3512	100	119.546	37.5	57.9
