baseMean,log2FoldChange,padj,seed_ortholog,evalue,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
2756.36460277854,-16.8029463180144,1.56896525031084e-26,203124.Tery_0059,,9.91e-44,,157.0,"COG0515@1|root,COG2319@1|root,COG0515@2|Bacteria,COG2319@2|Bacteria,1G2YR@1117|Cyanobacteria,1H8H1@1150|Oscillatoriales",1117|Cyanobacteria,KLT,WD-40 repeat,-,-,-,-,,-,Significant
1718.92240963301,-16.1201890931754,6.72291030889844e-25,203124.Tery_3314,,6.74e-09,,59.3,"COG0457@1|root,COG0457@2|Bacteria,1G6TT@1117|Cyanobacteria,1HC0E@1150|Oscillatoriales",1117|Cyanobacteria,S,Tetratricopeptide repeat,-,-,-,-,,-,Significant
1609.51485727294,-16.0252477678632,4.45522141510264e-24,203124.Tery_2705,,5.31e-39,50.9,141.0,"COG0652@1|root,COG2931@1|root,COG0652@2|Bacteria,COG2931@2|Bacteria,1G41E@1117|Cyanobacteria,1H92T@1150|Oscillatoriales",1117|Cyanobacteria,OQ,Peptidyl-prolyl cis-trans isomerase,-,-,5.2.1.8,ko:K03768,peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],-,Significant
850.543225022903,-15.1041146682348,2.23561530374243e-22,203124.Tery_2618,,4.99e-64,51.9,213.0,"COG0265@1|root,COG1196@1|root,COG0265@2|Bacteria,COG1196@2|Bacteria,1G85B@1117|Cyanobacteria,1HI54@1150|Oscillatoriales",1117|Cyanobacteria,DO,GUN4-like,-,-,-,-,serine protease Do [EC:3.4.21.107],-,Significant
734.770707602178,-14.893053368658,1.15970710658997e-21,203124.Tery_4304,,1.43e-27,,110.0,"COG1262@1|root,COG1262@2|Bacteria,1G0ZT@1117|Cyanobacteria,1H92Y@1150|Oscillatoriales",1117|Cyanobacteria,T,PFAM Formylglycine-generating sulfatase enzyme,-,-,-,-,,-,Significant
709.094713685605,-14.8464651284584,1.44383206263555e-21,203124.Tery_2097,,2.98e-42,,144.0,"2E4UG@1|root,32ZNT@2|Bacteria,1G9M2@1117|Cyanobacteria,1HAWB@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
1664.60124719803,-14.6404207731251,5.15129687595942e-21,203124.Tery_0419,,1.9400000000000002e-32,,125.0,"COG2931@1|root,COG2931@2|Bacteria",2|Bacteria,Q,calcium- and calmodulin-responsive adenylate cyclase activity,-,-,-,-,,-,Significant
613.028134896096,-14.6348147168677,2.73267559865465e-21,324925.Ppha_2306,,1.16e-09,51.7,58.5,"COG0007@1|root,COG0007@2|Bacteria,1FD67@1090|Chlorobi",1090|Chlorobi,H,PFAM Uroporphyrin-III C tetrapyrrole (Corrin Porphyrin) methyltransferase,-,-,"2.1.1.107,4.2.1.75","ko:K02303,ko:K13542",precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",Significant
1418.54542782196,-14.4098048983858,1.90714934615912e-20,203124.Tery_4586,,0.00014,,44.3,"COG4252@1|root,COG4252@2|Bacteria,1GQ6Q@1117|Cyanobacteria,1HI1Y@1150|Oscillatoriales",1117|Cyanobacteria,T,Domain of Unknown Function (DUF928),-,-,-,-,,-,Significant
4208.11205543917,-14.4017356028244,2.19740224075203e-44,203124.Tery_0570,,9.48e-24,,100.0,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
