#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tricho_phage_NPSG.2	1	149200	35084	144833	97.0731	22.2545	35.7	58.7
Bin_1_Bin_1_Bin_1-contigs_c_000000002334	1	3716	25438	3716	100	651.41	35.5	58.6
Bin_1_Bin_1_Bin_1-contigs_c_000000002591	1	3457	22488	3457	100	602.086	35.7	56.1
Bin_1_Bin_1_Bin_1-contigs_c_000000008122	1	1660	10892	1660	100	622.345	35.7	54.9
Bin_1_Bin_1_Bin_1-contigs_c_000000003897	1	2660	20297	2660	100	689.065	35.4	56
Bin_1_Bin_1_Bin_1-contigs_c_000000003812	1	2697	14824	2697	100	527.399	35.6	55.1
Bin_1_Bin_1_Bin_1-contigs_c_000000006142	1	1990	2970	1990	100	135.419	35.5	24
Bin_1_Bin_1_Bin_1-contigs_c_000000011600	1	1307	3580	1307	100	257.558	35.8	39.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002144	1	3948	29199	3948	100	673.521	35.4	56.1
Bin_1_Bin_1_Bin_1-contigs_c_000000011614	1	1306	7424	1306	100	532.88	35.8	52.5
Bin_1_Bin_1_Bin_1-contigs_c_000000014014	1	1152	8699	1152	100	696.99	35.8	33.7
Bin_1_Bin_1_Bin_1-contigs_c_000000003109	1	3074	23947	3074	100	715.355	35.5	54.2
Bin_1_Bin_1_Bin_1-contigs_c_000000014174	1	1143	7332	1143	100	609.314	35.7	46.7
Bin_1_Bin_1_Bin_1-contigs_c_000000007961	1	1683	10239	1683	100	571.267	34.9	56.4
Bin_1_Bin_1_Bin_1-contigs_c_000000011690	1	1300	3318	1300	100	224.862	35.5	17.6
Bin_1_Bin_1_Bin_1-contigs_c_000000001170	1	5928	24949	5928	100	405.927	35.7	30.7
Bin_1_Bin_1_Bin_1-contigs_c_000000013460	1	1184	8942	1184	100	705.002	35.3	54.2
Bin_1_Bin_1_Bin_1-contigs_c_000000012598	1	1237	10543	1237	100	803.125	35.5	58.3
Bin_1_Bin_1_Bin_1-contigs_c_000000000634	1	8731	63349	8731	100	684.638	35.5	56.7
Bin_1_Bin_1_Bin_1-contigs_c_000000004316	1	2489	21297	2489	100	751.145	35.4	51
Bin_1_Bin_1_Bin_1-contigs_c_000000005803	1	2067	14739	2067	100	656.579	35.5	54.6
Bin_1_Bin_1_Bin_1-contigs_c_000000009632	1	1484	12609	1484	100	713.245	35.3	47
Bin_1_Bin_1_Bin_1-contigs_c_000000006279	1	1962	12395	1962	100	593.064	35.3	57.4
Bin_1_Bin_1_Bin_1-contigs_c_000000016858	1	1021	4720	1021	100	390.204	35.8	58.4
Bin_1_Bin_1_Bin_1-contigs_c_000000006482	1	1922	17839	1922	100	842.955	35.6	55.6
Bin_1_Bin_1_Bin_1-contigs_c_000000001828	1	4379	24194	4379	100	536.095	35.8	54.3
Bin_1_Bin_1_Bin_1-contigs_c_000000005794	1	2070	15323	2070	100	695.673	35.4	56.7
Bin_1_Bin_1_Bin_1-contigs_c_000000010666	1	1387	11607	1387	100	747.47	35.6	53.9
Bin_1_Bin_1_Bin_1-contigs_c_000000002270	1	3796	25807	3796	100	647.368	35.8	55.9
Bin_1_Bin_1_Bin_1-contigs_c_000000004205	1	2530	19862	2530	100	739.94	35.7	54.8
Bin_1_Bin_1_Bin_1-contigs_c_000000002742	1	3333	17766	3333	100	513.653	36	59.8
Bin_1_Bin_1_Bin_1-contigs_c_000000009694	1	1477	9469	1477	100	613.437	35.7	43.7
Bin_1_Bin_1_Bin_1-contigs_c_000000001955	1	4188	27289	4188	100	620.771	35.6	58.8
